,norwegian,english
0,jeg ,I
1,det ,the
2,du ,you
3,ikke ,not
4,en ,one
5,og ,and
6,i ,in
7,har ,hair
8,vi ,we
9,på ,on
10,å ,to
11,til ,to
12,deg ,yourself
13,med ,with
14,meg ,me
15,han ,he
16,for ,for
17,hva ,what
18,som ,as
19,at ,that
20,så ,so
21,kan ,can
22,de ,the
23,den ,it
24,var ,our
25,vil ,want
26,om ,about
27,av ,of
28,men ,but
29,skal ,shall
30,et ,somewhere
31,ja ,yes
32,her ,here
33,hun ,she
34,bare ,just
35,dette ,this
36,dere ,you
37,må ,must
38,nei ,no
39,vet ,know
40,nå ,now
41,ham ,him
42,min ,my
43,ut ,out
44,kom ,arrive
45,da ,then
46,din ,your
47,oss ,us
48,ha ,have
49,gjør ,do
50,hvor ,where
51,fra ,from
52,være ,be
53,noen ,some
54,dem ,them
55,igjen ,again
56,se ,see
57,ta ,toe
58,ville ,wanted
59,kommer ,arrive
60,alle ,everyone
61,går ,yesterday
62,alt ,everything
63,tror ,believe
64,hvorfor ,why
65,hvordan ,how
66,gjøre ,do
67,hvis ,if
68,opp ,up
69,seg ,themselves
70,ingen ,no
71,hadde ,had
72,sa ,so
73,bra ,Good
74,henne ,her
75,får ,sheep
76,når ,when
77,blir ,becomes
78,takk ,thanks
79,gå ,go
80,eller ,or
81,bli ,become
82,si ,say
83,ser ,look
84,hvem ,whose
85,la ,let
86,hei ,Hello
87,litt ,slightly
88,inn ,inside
89,etter ,after
90,ble ,became
91,denne ,this
92,kanskje ,maybe
93,tilbake ,back
94,aldri ,never
95,vel ,well
96,ok ,ok
97,skulle ,should have
98,jo ,Yes
99,trenger ,need
100,to ,two
101,sier ,says
102,kunne ,may
103,vært ,been
104,mer ,more
105,også ,also
106,før ,for
107,over ,above
108,man ,mane
109,tar ,take
110,mye ,a lot
111,selv ,self
112,god ,good
113,gi ,give
114,nok ,enough
115,mitt ,my
116,hans ,his
117,sammen ,together
118,gjorde ,did
119,dag ,day
120,enn ,than
121,gang ,passage
122,andre ,others
123,vær ,weather
124,fikk ,got
125,ned ,down
126,sett ,set
127,mine ,mine
128,greit ,decrease
129,siden ,since
130,ditt ,yours
131,helt ,hero
132,mot ,against
133,år ,year
134,faen ,fuck
135,deres ,their
136,snakke ,talk
137,komme ,come
138,godt ,well
139,ved ,by
140,fordi ,because
141,gjort ,done
142,dra ,drag
143,rett ,straight
144,liker ,liken
145,mann ,man
146,folk ,folk
147,alltid ,always
148,mener ,believe
149,mange ,many
150,dine ,your
151,sånn ,like that
152,sant ,true
153,ting ,thing
154,tok ,took
155,vent ,wait
156,vår ,our
157,hjem ,home
158,tre ,three
159,finne ,find
160,beklager ,sorry
161,veldig ,very
162,hold ,hold
163,burde ,should
164,tid ,time
165,ingenting ,nothing
166,trodde ,believed
167,uten ,without
168,hit ,here
169,bedre ,better
170,gikk ,walked
171,hjelpe ,help
172,morgen ,morning
173,livet ,life
174,akkurat ,just
175,vite ,know
176,kveld ,evening
177,visste ,knew
178,virkelig ,really
179,elsker ,lover
180,skjer ,happens
181,slik ,such
182,lenge ,long
183,snakker ,speaks
184,sir ,sir
185,kjenner ,know
186,sin ,its
187,samme ,same
188,står ,stands
189,far ,father
190,ute ,out
191,første ,first
192,hjelp ,help
193,feil ,error
194,snill ,kind
195,død ,death
